iter	Passed	Remaining
0	28	28399
1	51	25697
2	73	24314
3	95	23866
4	121	24195
5	148	24536
6	174	24749
7	202	25118
8	225	24863
9	252	25031
10	276	24890
11	303	24974
12	327	24864
13	351	24768
14	375	24639
15	400	24626
16	431	24921
17	450	24603
18	475	24539
19	497	24387
20	520	24264
21	543	24168
22	568	24132
23	592	24102
24	615	24008
25	638	23933
26	666	24000
27	691	24004
28	716	23989
29	740	23954
30	761	23792
31	783	23695
32	805	23610
33	830	23602
34	852	23504
35	875	23445
36	896	23336
37	919	23282
38	942	23216
39	963	23131
40	987	23094
41	1011	23066
42	1032	22988
43	1056	22945
44	1078	22883
45	1102	22872
46	1124	22801
47	1144	22700
48	1165	22626
49	1186	22550
50	1208	22494
51	1232	22474
52	1255	22441
53	1282	22469
54	1304	22412
55	1327	22383
56	1346	22271
57	1367	22202
58	1388	22142
59	1413	22139
60	1436	22105
61	1458	22058
62	1480	22020
63	1501	21959
64	1524	21930
65	1547	21898
66	1567	21829
67	1590	21794
68	1614	21781
69	1636	21742
70	1658	21704
71	1680	21663
72	1707	21682
73	1730	21654
74	1753	21629
75	1776	21595
76	1798	21562
77	1822	21548
78	1846	21524
79	1867	21470
80	1885	21393
81	1904	21326
82	1923	21249
83	1943	21192
84	1963	21134
85	1981	21063
86	2001	21005
87	2022	20963
88	2045	20938
89	2067	20906
90	2089	20870
91	2114	20871
92	2136	20839
93	2159	20809
94	2179	20766
95	2202	20738
96	2225	20719
97	2248	20694
98	2269	20655
99	2294	20647
100	2315	20613
101	2339	20595
102	2362	20576
103	2385	20548
104	2408	20532
105	2431	20503
106	2453	20474
107	2476	20456
108	2499	20435
109	2526	20443
110	2549	20422
111	2573	20402
112	2601	20422
113	2622	20382
114	2646	20363
115	2672	20366
116	2697	20356
117	2720	20331
118	2739	20281
119	2760	20242
120	2781	20207
121	2801	20164
122	2824	20135
123	2846	20106
124	2866	20067
125	2888	20039
126	2911	20011
127	2933	19983
128	2954	19948
129	2978	19931
130	3001	19912
131	3025	19895
132	3049	19877
133	3072	19853
134	3095	19832
135	3118	19810
136	3139	19779
137	3162	19754
138	3184	19726
139	3205	19691
140	3228	19669
141	3248	19628
142	3271	19608
143	3293	19575
144	3312	19531
145	3337	19520
146	3357	19485
147	3379	19456
148	3402	19434
149	3425	19409
150	3445	19374
151	3467	19347
152	3489	19319
153	3512	19298
154	3536	19277
155	3559	19257
156	3582	19235
157	3606	19218
158	3629	19199
159	3653	19180
160	3677	19163
161	3700	19144
162	3727	19141
163	3751	19121
164	3772	19092
165	3797	19078
166	3819	19049
167	3839	19016
168	3861	18986
